Optimizador;Error promedio MSE (50000 epochs)
descgradient;1.3198756818216975
descgradient;1.3198751251338223
descgradient;1.3198745684468547
descgradient;1.3198740117608256
descgradient;1.3198734550757483
descgradient;1.319872898391515
descgradient;1.3198723417083076
descgradient;1.3198717850260393
descgradient;1.3198712283446732
descgradient;1.319870671664233
descgradient;1.3198701149845744
descgradient;1.319869558305828
descgradient;1.319869001627993
descgradient;1.319868444951039
descgradient;1.3198678882749562
descgradient;1.3198673315997316
descgradient;1.3198667749255077
descgradient;1.319866218252166
descgradient;1.3198656615796929
descgradient;1.3198651049082535
descgradient;1.3198645482377538
descgradient;1.319863991567959
descgradient;1.3198634348990057
descgradient;1.3198628782309303
descgradient;1.3198623215638634
descgradient;1.3198617648977338
descgradient;1.3198612082325443
descgradient;1.319860651568192
descgradient;1.3198600949048844
descgradient;1.3198595382423421
descgradient;1.3198589815806918
descgradient;1.3198584249199465
descgradient;1.3198578682600652
descgradient;1.3198573116010959
descgradient;1.319856754943065
descgradient;1.3198561982859742
descgradient;1.3198556416296192
descgradient;1.3198550849742046
descgradient;1.31985452831972
descgradient;1.319853971666078
descgradient;1.319853415013434
descgradient;1.3198528583615976
descgradient;1.319852301710665
descgradient;1.3198517450604121
descgradient;1.3198511884112605
descgradient;1.3198506317630723
descgradient;1.3198500751157844
descgradient;1.319849518469499
descgradient;1.3198489618240719
descgradient;1.3198484051794723
descgradient;1.3198478485357965
descgradient;1.3198472918928998
descgradient;1.3198467352508543
descgradient;1.3198461786098332
descgradient;1.3198456219697055
descgradient;1.3198450653304892
descgradient;1.3198445086920148
descgradient;1.3198439520544685
descgradient;1.3198433954179567
descgradient;1.3198428387822818
descgradient;1.3198422821475426
descgradient;1.3198417255137544
descgradient;1.3198411688807263
descgradient;1.3198406122485569
descgradient;1.3198400556174041
descgradient;1.3198394989872302
descgradient;1.3198389423579175
descgradient;1.3198383857294531
descgradient;1.3198378291018709
descgradient;1.3198372724751843
descgradient;1.3198367158493307
descgradient;1.3198361592243442
descgradient;1.3198356026003188
descgradient;1.3198350459771988
descgradient;1.3198344893550435
descgradient;1.3198339327338615
descgradient;1.3198333761134518
descgradient;1.3198328194939544
descgradient;1.3198322628754147
descgradient;1.319831706257707
descgradient;1.3198311496408621
descgradient;1.3198305930249723
descgradient;1.3198300364098674
descgradient;1.3198294797958134
descgradient;1.3198289231826852
descgradient;1.3198283665704462
descgradient;1.3198278099591318
descgradient;1.319827253348513
descgradient;1.319826696738932
descgradient;1.3198261401303064
descgradient;1.319825583522382
descgradient;1.3198250269153904
descgradient;1.3198244703092263
descgradient;1.3198239137040797
descgradient;1.31982335709987
descgradient;1.3198228004965724
descgradient;1.3198222438942138
descgradient;1.3198216872926098
descgradient;1.3198211306919148
descgradient;1.3198205740920044
descgradient;1.3198200174930825
descgradient;1.31981946089504
descgradient;1.3198189042978932
descgradient;1.3198183477015692
descgradient;1.319817791106165
descgradient;1.319817234511698
descgradient;1.3198166779181066
descgradient;1.3198161213254458
descgradient;1.3198155647337124
descgradient;1.319815008143077
descgradient;1.319814451553343
descgradient;1.3198138949644733
descgradient;1.319813338376364
descgradient;1.319812781789121
descgradient;1.3198122252028646
descgradient;1.3198116686175032
descgradient;1.3198111120330291
descgradient;1.319810555449486
descgradient;1.3198099988666723
descgradient;1.3198094422847761
descgradient;1.3198088857038908
descgradient;1.3198083291239169
descgradient;1.3198077725447597
descgradient;1.3198072159665877
descgradient;1.3198066593892894
descgradient;1.3198061028127674
descgradient;1.3198055462372833
descgradient;1.319804989662763
descgradient;1.3198044330891832
descgradient;1.3198038765163331
descgradient;1.3198033199444534
descgradient;1.3198027633732845
descgradient;1.319802206803193
descgradient;1.319801650234032
descgradient;1.3198010936658193
descgradient;1.3198005370984953
descgradient;1.3197999805319647
descgradient;1.3197994239663147
descgradient;1.31979886740161
descgradient;1.3197983108378462
descgradient;1.3197977542749826
descgradient;1.3197971977130267
descgradient;1.3197966411518118
descgradient;1.319796084591549
descgradient;1.3197955280322753
descgradient;1.3197949714739048
descgradient;1.3197944149163663
descgradient;1.319793858359689
descgradient;1.3197933018039802
descgradient;1.3197927452490612
descgradient;1.3197921886951223
descgradient;1.3197916321421503
descgradient;1.3197910755900184
descgradient;1.3197905190387282
descgradient;1.3197899624884228
descgradient;1.3197894059388664
descgradient;1.3197888493902927
descgradient;1.319788292842665
descgradient;1.3197877362959851
descgradient;1.3197871797501437
descgradient;1.3197866232052304
descgradient;1.3197860666612804
descgradient;1.3197855101180098
descgradient;1.3197849535756478
descgradient;1.3197843970342127
descgradient;1.3197838404935647
descgradient;1.319783283953952
descgradient;1.3197827274153147
descgradient;1.3197821708775614
descgradient;1.3197816143407088
descgradient;1.3197810578045235
descgradient;1.3197805012692745
descgradient;1.3197799447351066
descgradient;1.3197793882018731
descgradient;1.3197788316694559
descgradient;1.3197782751379041
descgradient;1.319777718607345
descgradient;1.3197771620776289
descgradient;1.3197766055488585
descgradient;1.3197760490209827
descgradient;1.319775492493991
descgradient;1.3197749359677886
descgradient;1.3197743794426064
descgradient;1.3197738229183025
descgradient;1.319773266394904
descgradient;1.3197727098724894
descgradient;1.3197721533507907
descgradient;1.319771596830048
descgradient;1.3197710403103269
descgradient;1.319770483791395
descgradient;1.3197699272732157
descgradient;1.319769370755972
descgradient;1.3197688142397082
descgradient;1.319768257724474
descgradient;1.3197677012100117
descgradient;1.319767144696413
descgradient;1.3197665881837901
descgradient;1.3197660316721693
descgradient;1.3197654751613062
descgradient;1.3197649186513376
descgradient;1.3197643621421908
descgradient;1.3197638056339718
descgradient;1.3197632491267441
descgradient;1.3197626926204686
descgradient;1.3197621361150569
descgradient;1.3197615796106112
descgradient;1.3197610231068977
descgradient;1.31976046660412
descgradient;1.3197599101022035
descgradient;1.319759353601172
descgradient;1.3197587971010658
descgradient;1.319758240601951
descgradient;1.3197576841037622
descgradient;1.319757127606446
descgradient;1.3197565711100308
descgradient;1.319756014614443
descgradient;1.3197554581198032
descgradient;1.3197549016260741
descgradient;1.3197543451332245
descgradient;1.3197537886412603
descgradient;1.3197532321501946
descgradient;1.3197526756601607
descgradient;1.3197521191708559
descgradient;1.3197515626823357
descgradient;1.3197510061947948
descgradient;1.3197504497082984
descgradient;1.3197498932227276
descgradient;1.3197493367380049
descgradient;1.3197487802540482
descgradient;1.319748223770999
descgradient;1.3197476672889297
descgradient;1.3197471108078918
descgradient;1.3197465543275517
descgradient;1.3197459978481516
descgradient;1.3197454413695813
descgradient;1.319744884891856
descgradient;1.319744328415094
descgradient;1.3197437719391847
descgradient;1.3197432154642157
descgradient;1.319742658990229
descgradient;1.3197421025171192
descgradient;1.3197415460447746
descgradient;1.3197409895733208
descgradient;1.3197404331028526
descgradient;1.3197398766333122
descgradient;1.3197393201646643
descgradient;1.3197387636969153
descgradient;1.3197382072300496
descgradient;1.3197376507641
descgradient;1.3197370942990194
descgradient;1.3197365378348733
descgradient;1.3197359813716387
descgradient;1.3197354249092421
descgradient;1.3197348684478294
descgradient;1.3197343119872413
descgradient;1.31973375552756
descgradient;1.3197331990687728
descgradient;1.3197326426108806
descgradient;1.3197320861539141
descgradient;1.3197315296978602
descgradient;1.3197309732426346
descgradient;1.3197304167882908
descgradient;1.3197298603349013
descgradient;1.319729303882478
descgradient;1.319728747430901
descgradient;1.3197281909801992
descgradient;1.319727634530424
descgradient;1.319727078081563
descgradient;1.319726521633591
descgradient;1.319725965186541
descgradient;1.319725408740381
descgradient;1.319724852294993
descgradient;1.3197242958504982
descgradient;1.319723739406781
descgradient;1.3197231829641731
descgradient;1.3197226265225985
descgradient;1.319722070081898
descgradient;1.319721513642083
descgradient;1.319720957203238
descgradient;1.3197204007652021
descgradient;1.319719844327853
descgradient;1.3197192878915551
descgradient;1.3197187314562255
descgradient;1.3197181750218758
descgradient;1.3197176185883897
descgradient;1.3197170621556726
descgradient;1.319716505723897
descgradient;1.319715949293027
descgradient;1.3197153928630396
descgradient;1.3197148364338862
descgradient;1.319714280005596
descgradient;1.3197137235781948
descgradient;1.319713167151805
descgradient;1.3197126107262906
descgradient;1.3197120543015621
descgradient;1.3197114978777702
descgradient;1.3197109414549417
descgradient;1.319710385032964
descgradient;1.3197098286119406
descgradient;1.3197092721918373
descgradient;1.3197087157726963
descgradient;1.319708159354281
descgradient;1.3197076029367256
descgradient;1.3197070465200158
descgradient;1.319706490104348
descgradient;1.3197059336896286
descgradient;1.319705377275761
descgradient;1.3197048208630007
descgradient;1.3197042644509085
descgradient;1.3197037080397336
descgradient;1.3197031516295683
descgradient;1.3197025952202066
descgradient;1.3197020388117993
descgradient;1.3197014824042628
descgradient;1.31970092599761
descgradient;1.319700369591963
descgradient;1.3196998131870392
descgradient;1.3196992567830215
descgradient;1.319698700379848
descgradient;1.3196981439774556
descgradient;1.319697587576104
descgradient;1.3196970311756722
descgradient;1.3196964747761004
descgradient;1.319695918377536
descgradient;1.3196953619799796
descgradient;1.3196948055832736
descgradient;1.31969424918742
descgradient;1.319693692792366
descgradient;1.3196931363981061
descgradient;1.319692580004839
descgradient;1.3196920236125251
descgradient;1.3196914672210847
descgradient;1.3196909108306045
descgradient;1.319690354440944
descgradient;1.3196897980521851
descgradient;1.3196892416643284
descgradient;1.3196886852773935
descgradient;1.3196881288914186
descgradient;1.319687572506412
descgradient;1.3196870161222098
descgradient;1.3196864597391065
descgradient;1.3196859033567472
descgradient;1.3196853469753485
descgradient;1.3196847905947018
descgradient;1.3196842342150648
descgradient;1.31968367783615
descgradient;1.3196831214581881
descgradient;1.319682565081146
descgradient;1.319682008704966
descgradient;1.3196814523296712
descgradient;1.319680895955227
descgradient;1.319680339581707
descgradient;1.3196797832091534
descgradient;1.3196792268375048
descgradient;1.3196786704665404
descgradient;1.3196781140965876
descgradient;1.3196775577276338
descgradient;1.3196770013595227
descgradient;1.3196764449922347
descgradient;1.3196758886258955
descgradient;1.3196753322604973
descgradient;1.3196747758961616
descgradient;1.3196742195325761
descgradient;1.3196736631698556
descgradient;1.319673106808094
descgradient;1.3196725504472413
descgradient;1.3196719940874067
descgradient;1.3196714377281933
descgradient;1.3196708813699398
descgradient;1.3196703250126403
descgradient;1.3196697686563106
descgradient;1.3196692123007527
descgradient;1.3196686559461088
descgradient;1.3196680995922911
descgradient;1.31966754323948
descgradient;1.3196669868876238
descgradient;1.319666430536543
descgradient;1.319665874186252
descgradient;1.319665317836937
descgradient;1.3196647614886188
descgradient;1.3196642051412386
descgradient;1.3196636487947697
descgradient;1.3196630924489556
